transaction	amount	category	date 	time
100624	-4.24	4	2019/01/07	15:46:22
100625	-63.21	9	2018/12/28	19:39:58
100626	3.10	7	2018/08/15	19:50:44
100627	339.22	7	2018/12/14	15:07:26
100628	300.56	7	2019/01/18	09:54:26
100629	219.42	9	2019/02/07	23:41:34
100630	257.59	9	2018/01/11	17:17:44
100631	234.64	6	2019/02/26	07:39:21
100632	-271.46	8	2018/03/14	17:33:02
100633	51.55	3	2018/11/13	06:04:54
100634	144.42	6	2019/02/28	01:20:15
100635	-172.62	7	2019/01/13	10:58:52
100636	382.77	3	2018/11/28	10:55:17
100637	241.67	1	2018/11/10	08:37:19
100638	-221.36	8	2018/09/17	10:26:20
100639	155.24	6	2018/10/08	10:37:23
100640	-225.38	5	2018/03/14	21:00:13
100641	225.40	1	2018/01/11	14:24:58
100642	355.13	8	2018/08/27	19:28:56
100643	-16.24	10	2018/04/23	19:51:22
100644	156.34	3	2018/07/19	05:13:24
100645	-73.52	7	2018/01/14	20:24:08
100646	-140.54	9	2018/10/24	16:09:11
100647	-74.03	2	2018/06/27	00:24:27
100648	352.32	5	2018/09/28	10:01:58
100649	-272.15	3	2018/11/20	19:14:51
100650	346.29	2	2018/03/18	23:34:01
100651	-0.22	10	2018/04/04	23:33:03
100652	-46.01	4	2018/09/15	23:45:01
100653	-239.02	10	2018/10/12	03:02:44
100654	-160.45	8	2018/05/24	13:10:11
100655	167.18	10	2018/10/05	17:07:52
100656	377.97	3	2018/04/26	18:01:39
100657	-4.31	3	2018/02/28	03:51:48
100658	366.30	3	2019/01/04	05:50:57
100659	376.66	9	2018/07/13	07:31:39
100660	209.53	6	2018/06/29	07:35:40
100661	-100.75	1	2018/07/05	20:04:37
100662	-70.97	5	2018/10/21	13:36:35
100663	150.40	6	2018/04/06	22:11:29
100664	371.94	4	2018/10/31	11:58:23
100665	226.60	9	2018/08/07	23:31:48
100666	386.10	6	2018/06/01	18:11:10
100667	75.07	4	2018/09/14	15:41:11
100668	201.92	8	2018/04/14	09:24:57
100669	386.16	10	2018/09/10	18:31:18
100670	-158.48	5	2018/12/23	07:01:03
100671	-31.64	9	2018/05/21	04:19:48
100672	-28.12	4	2019/01/15	04:16:35
100673	-237.86	2	2018/08/13	18:29:53
100674	223.08	6	2018/07/03	15:38:19
100675	-106.30	8	2018/11/24	22:05:07
100676	-168.58	6	2019/01/16	23:02:20
100677	-38.01	3	2019/02/12	13:34:01
100678	106.75	5	2018/09/02	04:58:15
100679	353.47	4	2018/05/08	11:39:56
100680	-143.00	4	2019/02/09	22:37:41
100681	-295.42	8	2019/01/19	08:24:10
100682	-91.35	6	2019/01/20	19:09:38
100683	-143.30	4	2018/01/02	06:27:40
100684	-213.48	8	2018/07/01	15:24:41
100685	21.63	6	2018/12/31	19:23:48
100686	8.07	8	2018/01/23	08:09:02
100687	-144.90	7	2018/02/22	15:56:31
100688	93.03	9	2019/01/22	04:05:29
100689	354.85	8	2018/08/19	15:55:21
100690	150.16	4	2018/04/02	11:36:16
100691	-61.10	9	2018/05/07	03:23:19
100692	178.97	10	2018/08/17	14:42:08
100693	-129.59	1	2018/11/06	04:29:45
100694	-287.36	8	2018/11/21	09:07:36
100695	-62.66	5	2018/09/03	12:53:46
100696	-129.61	8	2018/04/26	05:36:54
100697	-226.85	10	2019/01/23	16:55:45
100698	-203.33	7	2018/11/17	21:45:53
100699	-186.37	8	2018/06/16	10:49:49
100700	-44.48	9	2018/10/16	14:42:26
100701	-23.27	7	2018/11/27	12:10:18
100702	-163.01	5	2018/12/04	06:33:38
100703	-204.16	10	2018/08/26	03:46:50
100704	-103.77	9	2019/03/01	17:31:46
100705	368.22	4	2018/11/08	08:30:02
100706	363.99	6	2018/02/28	09:45:36
100707	-189.70	5	2018/03/05	16:56:32
100708	-8.76	5	2018/05/19	02:22:48
100709	336.89	8	2018/03/14	03:53:21
100710	-260.18	9	2018/01/25	12:44:48
100711	344.76	3	2019/02/06	13:03:45
100712	313.70	9	2019/01/10	14:21:31
100713	344.35	4	2019/01/25	03:09:28
100714	-229.16	1	2018/01/08	09:40:34
100715	-298.78	9	2018/10/04	23:44:15
100716	111.85	10	2018/12/21	12:33:31
100717	45.91	3	2018/10/26	00:12:29
100718	345.63	10	2018/04/04	23:32:08
100719	307.38	10	2018/01/30	04:07:34
100720	360.48	10	2018/07/31	23:32:48
100721	-260.88	2	2018/08/01	08:14:15
100722	-253.52	10	2018/09/27	02:15:19
100723	-164.27	10	2019/02/01	09:23:31
100724	399.47	3	2018/03/20	00:32:49
100725	148.14	1	2018/01/13	17:46:53
100726	37.35	1	2018/03/26	19:05:37
100727	15.09	1	2019/01/30	13:24:23
100728	37.44	1	2018/05/03	18:35:17
100729	-185.12	8	2018/08/16	05:56:32
100730	147.06	2	2018/12/03	18:43:58
100731	307.43	3	2018/11/04	17:04:21
100732	197.67	1	2018/01/07	22:00:44
100733	-250.02	3	2018/03/12	05:21:55
100734	-149.73	8	2018/12/19	23:32:25
100735	-255.92	4	2019/03/05	16:40:28
100736	-135.88	2	2019/01/04	15:02:35
100737	43.87	6	2018/08/06	07:07:15
100738	-81.42	10	2019/02/26	17:01:00
100739	155.05	3	2018/03/17	12:44:58
100740	373.06	2	2018/10/07	18:42:24
100741	113.40	4	2018/07/24	04:44:18
100742	35.56	4	2018/08/06	12:40:47
100743	-169.94	9	2018/01/28	03:49:35
100744	395.53	4	2019/01/07	23:34:03
100745	-72.42	7	2018/11/13	17:21:11
100746	265.68	4	2018/09/24	04:01:00
100747	-60.71	1	2018/06/12	10:15:32
100748	81.98	5	2018/09/22	08:57:06
100749	-200.10	3	2019/02/13	06:07:29
100750	-150.27	6	2018/12/20	01:15:41
100751	385.23	5	2018/03/15	10:36:52
100752	-99.99	8	2018/02/11	11:41:27
100753	261.16	3	2018/05/25	02:11:25
100754	239.00	7	2018/11/13	15:58:02
100755	-5.54	5	2018/06/18	15:44:41
100756	-102.96	4	2018/11/05	16:14:16
100757	-56.17	5	2018/05/13	05:47:54
100758	-118.63	10	2018/10/08	11:55:51
100759	255.22	3	2018/03/10	23:29:17
100760	-192.66	1	2018/05/09	20:01:31
100761	-98.73	4	2018/06/23	06:17:57
100762	-86.20	4	2018/11/07	13:22:04
100763	-7.01	7	2018/12/18	19:41:10
100764	83.02	5	2019/02/01	08:25:50
100765	346.61	1	2018/12/21	19:39:18
100766	-281.51	4	2018/12/10	09:37:11
100767	-110.55	5	2018/02/07	00:30:00
100768	163.53	4	2019/01/24	21:05:30
100769	212.47	2	2018/09/29	09:26:45
100770	-205.38	6	2018/08/01	14:31:24
100771	20.69	3	2018/11/23	01:18:56
100772	39.19	9	2018/04/19	19:20:21
100773	226.37	3	2019/01/22	12:22:01
100774	-282.36	4	2018/04/17	02:46:23
100775	-254.18	4	2018/02/19	19:19:33
100776	116.49	10	2018/01/31	23:57:05
100777	342.69	8	2018/12/10	00:50:58
100778	237.91	7	2018/07/20	03:33:47
100779	202.10	3	2018/07/14	10:19:40
100780	124.52	4	2018/06/09	18:17:52
100781	94.30	2	2018/09/10	13:17:06
100782	87.17	4	2018/11/05	01:46:40
100783	-7.62	2	2018/10/05	18:03:40
100784	92.53	1	2018/03/13	01:48:12
100785	170.09	1	2018/09/15	08:27:57
100786	263.50	4	2019/01/23	14:52:36
100787	232.95	1	2018/12/29	11:47:23
100788	-274.69	4	2018/10/04	23:02:12
100789	172.53	3	2018/06/02	02:55:25
100790	278.10	6	2018/01/10	07:39:08
100791	-42.21	4	2018/08/24	14:07:37
100792	-124.21	10	2019/01/21	16:58:23
100793	-90.26	4	2018/11/16	05:11:02
100794	-65.62	9	2018/07/19	09:58:34
100795	64.04	6	2018/08/23	03:21:23
100796	-186.67	1	2018/04/30	16:31:40
100797	-236.24	9	2018/02/10	10:18:18
100798	109.83	7	2018/01/24	03:57:39
100799	-281.07	1	2019/02/05	20:01:43
100800	-256.50	10	2019/01/12	09:17:44
100801	231.92	8	2018/09/13	01:54:09
100802	-235.65	6	2019/03/06	10:38:59
100803	358.36	8	2018/12/24	22:15:43
100804	-260.58	7	2019/02/24	08:15:30
100805	160.88	3	2018/07/19	19:02:20
100806	171.28	1	2018/11/16	17:24:49
100807	-93.59	2	2019/01/26	20:11:25
100808	336.06	10	2018/06/28	14:38:05
100809	-168.90	8	2018/10/15	08:13:06
100810	-207.89	6	2019/03/07	10:38:37
100811	-34.56	3	2018/05/28	08:55:10
100812	339.75	8	2019/02/22	20:48:44
100813	391.68	2	2019/03/07	22:17:57
100814	-197.23	10	2018/02/19	01:04:13
100815	-239.26	1	2019/01/17	17:29:57
100816	284.03	8	2018/04/30	11:56:40
100817	-179.04	6	2019/02/23	21:49:12
100818	170.94	2	2018/05/18	10:08:27
100819	305.15	6	2018/12/19	01:04:29
100820	208.60	1	2018/01/13	14:03:11
100821	23.01	3	2018/01/12	20:31:27
100822	16.81	4	2018/06/26	22:19:24
100823	202.45	10	2018/08/28	19:04:05
100824	-299.11	2	2019/02/24	12:28:45
100825	-157.64	6	2018/03/28	10:02:47
100826	-191.80	3	2018/04/01	11:19:07
100827	151.42	10	2019/02/16	13:51:05
100828	94.46	3	2018/02/03	04:47:57
100829	-148.52	1	2018/08/24	08:34:02
100830	-36.49	6	2018/10/22	18:09:28
100831	166.03	10	2018/07/19	05:57:39
100832	-10.47	3	2018/06/28	11:26:19
100833	-222.02	5	2018/02/05	02:39:36
100834	173.20	1	2018/07/01	20:45:13
100835	247.18	8	2018/01/29	20:01:10
100836	-119.62	6	2018/05/18	22:16:00
100837	368.09	5	2019/02/23	15:44:55
100838	-14.66	7	2018/12/22	03:28:30
100839	-161.01	10	2018/08/09	00:42:12
100840	207.46	10	2018/06/29	13:34:54
100841	-251.91	1	2018/07/18	22:47:34
100842	80.91	8	2018/07/14	11:35:51
100843	195.50	2	2018/09/18	21:11:18
100844	-278.47	9	2018/12/14	02:58:53
100845	-11.36	4	2018/06/15	01:30:13
100846	349.47	5	2018/05/08	11:34:21
100847	-84.40	5	2018/12/08	07:21:13
100848	51.92	2	2018/05/21	12:24:47
100849	80.67	3	2018/09/10	12:32:57
100850	95.52	8	2018/09/14	02:19:25
100851	-202.33	8	2018/06/12	04:17:46
100852	150.11	6	2018/07/17	18:37:48
100853	102.86	5	2018/10/17	09:14:37
100854	381.40	6	2019/02/09	19:31:27
100855	377.66	10	2018/08/09	06:35:14
100856	-264.13	9	2018/11/01	20:46:56
100857	158.38	9	2018/04/01	18:03:51
100858	90.46	6	2018/02/15	03:22:21
100859	226.07	2	2018/10/15	07:45:51
100860	347.93	9	2019/02/22	08:36:37
100861	-189.31	5	2018/09/14	05:56:01
100862	-114.61	8	2019/02/21	01:02:22
100863	-198.18	1	2018/09/06	08:08:22
100864	-190.11	4	2018/05/10	18:51:59
100865	389.44	6	2019/02/03	11:27:58
100866	-194.46	6	2018/03/14	21:45:41
100867	8.02	6	2018/11/26	04:29:28
100868	117.12	7	2018/11/23	10:51:07
100869	207.15	3	2018/10/28	23:37:47
100870	288.14	1	2018/10/02	07:46:44
100871	28.81	8	2018/02/06	19:23:02
100872	-121.77	9	2018/02/06	13:26:55
100873	279.79	3	2018/02/26	01:36:28
100874	194.92	5	2018/03/13	10:50:24
100875	-243.03	5	2018/06/20	09:13:13
100876	-284.11	3	2018/10/11	15:37:20
100877	123.43	6	2018/02/28	10:52:05
100878	-278.61	7	2018/05/15	14:02:44
100879	-84.01	10	2018/12/17	12:22:52
100880	207.10	10	2018/05/06	03:50:30
100881	256.74	2	2018/07/26	06:34:39
100882	343.68	3	2018/05/20	21:38:17
100883	-167.95	6	2019/01/13	23:04:30
100884	269.99	9	2018/06/15	11:22:04
100885	369.27	8	2018/08/04	01:05:20
100886	66.23	10	2019/01/19	03:51:26
100887	231.83	3	2019/02/28	08:16:06
100888	-227.80	3	2018/08/06	02:51:49
100889	-73.58	9	2019/01/04	04:12:11
100890	179.71	10	2019/02/13	14:08:29
100891	36.89	4	2018/05/16	18:47:16
100892	67.01	3	2018/08/18	14:10:46
100893	159.27	10	2018/05/16	20:07:07
100894	-62.97	4	2018/11/17	05:13:42
100895	-285.63	6	2018/08/04	05:53:35
100896	-172.43	7	2018/12/01	09:57:26
100897	359.61	3	2018/10/19	19:57:35
100898	247.30	9	2019/01/27	08:31:08
100899	-286.93	4	2018/11/27	22:37:31
100900	-140.03	6	2018/03/13	00:18:33
100901	373.77	2	2018/01/18	23:57:57
100902	-48.69	7	2018/12/11	09:11:04
100903	17.51	3	2018/12/04	04:22:39
100904	-144.12	8	2018/09/21	18:54:55
100905	-76.46	1	2018/11/30	09:51:37
100906	-90.95	5	2018/07/28	07:50:27
100907	322.93	7	2018/05/21	08:57:33
100908	-196.22	3	2018/01/10	22:24:59
100909	-223.40	1	2019/01/08	16:01:37
100910	213.38	7	2018/03/13	02:53:56
100911	163.20	8	2018/08/07	23:33:01
100912	338.25	9	2018/01/29	20:55:38
100913	-229.29	6	2019/02/15	06:15:29
100914	62.60	3	2018/08/10	01:45:48
100915	19.26	1	2018/04/05	16:19:00
100916	235.01	5	2018/05/14	19:29:10
100917	-282.26	2	2018/05/07	20:15:39
100918	232.05	1	2018/08/07	20:16:14
100919	266.43	4	2018/10/12	01:04:01
100920	358.44	2	2018/08/07	00:49:40
100921	62.67	7	2018/04/11	02:31:04
100922	-177.88	5	2018/11/17	04:04:19
100923	-60.35	3	2018/01/04	01:59:48
100924	199.36	2	2018/12/02	17:54:05
100925	-70.51	4	2018/10/31	13:03:59
100926	126.91	6	2018/02/16	19:17:23
100927	-281.93	7	2018/05/16	13:41:17
100928	298.44	2	2018/05/01	23:18:25
100929	203.65	6	2018/05/08	05:56:57
100930	311.25	5	2018/07/18	12:41:58
100931	-94.50	6	2018/10/01	01:08:42
100932	-194.66	6	2018/04/26	09:11:06
100933	383.84	10	2018/02/04	11:42:39
100934	170.18	6	2019/01/28	08:12:00
100935	19.87	3	2018/11/20	08:03:48
100936	102.50	8	2018/07/19	23:32:13
100937	386.00	6	2018/10/28	09:50:02
100938	247.15	10	2018/11/10	06:00:35
100939	358.26	10	2018/11/28	15:47:26
100940	374.36	5	2018/07/27	11:44:14
100941	84.31	2	2018/08/05	15:19:19
100942	291.38	8	2018/03/05	07:38:43
100943	-47.06	8	2019/02/09	18:44:03
100944	318.12	2	2019/02/07	12:33:54
100945	356.07	5	2018/02/11	05:55:57
100946	-225.74	3	2018/08/06	16:35:25
100947	356.21	6	2018/03/11	18:45:26
100948	-180.76	2	2018/12/02	21:18:40
100949	-143.39	3	2018/10/25	08:18:52
100950	180.02	1	2018/09/11	18:59:28
100951	298.27	7	2019/01/25	04:39:44
100952	33.95	3	2018/12/14	08:12:05
100953	-2.05	2	2018/04/29	18:44:59
100954	-54.32	8	2019/01/11	21:09:38
100955	-174.68	10	2018/12/27	04:07:35
100956	-51.68	2	2018/07/03	15:07:50
100957	334.22	10	2018/01/27	18:43:56
100958	-76.33	6	2019/01/27	00:26:17
100959	-146.09	2	2018/12/31	15:18:25
100960	180.25	10	2018/03/20	05:42:05
100961	276.79	2	2018/03/22	12:19:21
100962	365.53	3	2018/10/25	02:38:08
100963	-160.67	4	2019/02/23	05:23:01
100964	313.41	1	2018/12/07	18:22:48
100965	-121.10	6	2019/01/02	03:36:02
100966	378.54	5	2018/02/08	17:53:46
100967	57.01	8	2018/03/09	20:00:08
100968	247.19	3	2018/09/28	19:01:57
100969	-156.78	2	2018/01/30	16:03:47
100970	79.50	1	2018/06/01	07:46:48
100971	381.30	10	2019/02/19	13:15:14
100972	-51.97	5	2019/02/06	03:54:00
100973	240.32	5	2019/01/28	15:01:25
100974	156.91	2	2018/03/31	21:51:00
100975	-188.78	9	2018/05/09	12:04:55
100976	132.47	4	2018/07/30	14:14:06
100977	194.44	8	2018/09/26	16:59:41
100978	245.34	4	2018/01/01	00:26:59
100979	-67.90	6	2018/06/19	18:45:46
100980	139.52	4	2018/06/27	08:22:10
100981	290.85	1	2018/07/18	02:01:50
100982	-130.78	1	2019/02/10	14:30:03
100983	140.34	9	2018/02/04	04:11:36
100984	17.63	10	2018/11/07	11:45:07
100985	243.85	10	2019/03/01	15:27:02
100986	-138.44	3	2018/07/15	22:04:25
100987	40.89	3	2019/01/17	20:28:31
100988	55.32	5	2018/01/01	12:08:27
100989	87.92	5	2019/03/07	05:23:06
100990	165.15	1	2018/04/17	17:42:28
100991	-234.51	1	2019/03/04	18:17:51
100992	62.35	7	2018/10/12	17:29:11
100993	-287.32	6	2018/02/01	12:16:45
100994	394.85	2	2018/10/10	08:12:24
100995	324.40	3	2018/03/21	11:38:12
100996	-287.38	7	2018/01/13	00:58:37
100997	-17.47	2	2018/10/09	00:15:49
100998	-14.26	5	2018/08/15	08:54:00
100999	-22.22		2	19/03/09	13:53:51
